Date,Close,시가총액 (백만),거래대금 (백만)
2019-05-22,156.15,"26,731,157","932,989"
2019-05-21,155.72,"26,657,003","1,133,243"
2019-05-20,152.46,"26,097,111","834,630"
2019-05-17,154.74,"26,467,002","921,466"
2019-05-16,155.09,"26,445,290","973,196"
2019-05-15,159.77,"27,241,908","1,409,495"
2019-05-14,153.67,"26,201,825","853,061"
2019-05-13,152.44,"25,992,923","711,165"
2019-05-10,155.18,"26,446,189","641,404"
2019-05-09,154.74,"26,269,097","717,779"
2019-05-08,159.51,"27,078,779","549,495"
2019-05-07,160.82,"27,298,999","742,896"
2019-05-03,162.80,"27,631,957","656,749"
2019-05-02,164.00,"27,835,500","937,627"
2019-04-30,161.82,"27,517,597","825,987"
2019-04-29,159.20,"27,071,135","794,627"
2019-04-26,157.23,"26,725,330","695,510"
2019-04-25,160.24,"27,226,019","643,305"
2019-04-24,160.94,"27,345,271","704,622"
2019-04-23,162.07,"27,534,564","555,616"
2019-04-22,163.07,"27,684,972","583,390"
2019-04-19,163.47,"27,751,665","743,009"
2019-04-18,162.62,"27,606,932","837,921"
2019-04-17,165.85,"28,152,388","1,362,926"
2019-04-16,162.24,"27,538,139","661,703"
2019-04-15,163.32,"27,718,460","719,802"
2019-04-12,164.07,"27,844,974","833,885"
2019-04-11,162.12,"27,533,582","820,508"
2019-04-10,160.50,"27,258,192","688,165"
2019-04-09,160.02,"27,176,216","1,129,800"
2019-04-08,157.66,"26,774,545","650,856"
2019-04-05,159.48,"27,082,812","870,877"
2019-04-04,158.92,"26,987,343","978,855"
2019-04-03,157.22,"26,697,351","731,361"
2019-04-02,154.12,"26,171,278","612,650"
2019-04-01,153.86,"26,123,028","655,820"
2019-03-29,150.98,"25,566,925","536,124"
2019-03-28,148.79,"25,190,447","462,732"
2019-03-27,150.79,"25,551,743","626,980"
2019-03-26,149.10,"25,233,916","470,503"
2019-03-25,148.20,"25,082,187","492,990"
2019-03-22,151.72,"25,676,389","593,869"
2019-03-21,151.32,"25,675,525","772,608"
2019-03-20,149.91,"25,433,653","658,263"
2019-03-19,149.95,"25,441,267","624,459"
2019-03-18,150.06,"25,527,147","607,828"
2019-03-15,149.59,"25,447,383","673,309"
2019-03-14,151.06,"25,621,725","568,283"
2019-03-13,150.03,"25,441,329","534,980"
2019-03-12,150.39,"25,502,694","537,665"
2019-03-11,148.04,"25,103,291","406,564"
2019-03-08,147.85,"25,071,038","495,506"
2019-03-07,149.45,"25,342,439","479,089"
2019-03-06,150.56,"25,554,776","518,450"
2019-03-05,150.93,"25,616,620","600,644"
2019-03-04,153.09,"25,978,080","541,030"
2019-02-28,150.51,"25,538,210","683,158"
2019-02-27,156.38,"26,534,319","687,925"
2019-02-26,155.03,"26,304,599","398,262"
2019-02-25,156.47,"26,548,536","491,353"
2019-02-22,154.70,"26,248,314","487,361"
2019-02-21,154.89,"26,274,117","712,513"
2019-02-20,157.04,"26,647,538","574,252"
2019-02-19,156.71,"26,589,877","490,088"
2019-02-18,157.19,"26,647,471","640,189"
2019-02-15,155.08,"26,289,393","624,737"
2019-02-14,158.08,"26,679,153","640,661"
2019-02-13,157.22,"26,533,174","733,040"
2019-02-12,155.22,"26,195,208","789,635"
2019-02-11,153.05,"25,823,176","585,610"
2019-02-08,151.58,"25,575,312","625,612"
2019-02-07,153.02,"25,817,083","618,337"
2019-02-01,150.15,"25,333,104","628,153"
2019-01-31,149.09,"25,147,504","583,160"
2019-01-30,150.78,"25,431,784","683,842"
2019-01-29,151.18,"25,499,200","812,854"
2019-01-28,148.95,"25,135,875","554,378"
2019-01-25,150.53,"25,400,256","947,802"
2019-01-24,145.52,"24,552,260","475,396"
2019-01-23,143.47,"24,183,723","547,740"
2019-01-22,142.95,"24,095,653","675,326"
2019-01-21,144.38,"24,336,553","630,020"
2019-01-18,142.31,"23,985,376","650,159"
2019-01-17,141.28,"23,806,101","653,981"
2019-01-16,143.40,"24,162,303","581,611"
2019-01-15,143.01,"24,093,567","532,854"
2019-01-14,139.98,"23,577,017","510,618"
2019-01-11,141.63,"23,855,629","603,649"
2019-01-10,140.19,"23,624,656","527,602"
2019-01-09,140.23,"23,629,351","572,152"
2019-01-08,136.19,"22,948,995","701,128"
2019-01-07,138.24,"23,294,709","554,305"
2019-01-04,134.94,"22,740,275","750,075"
2019-01-03,135.56,"22,843,369","857,501"
2019-01-02,139.06,"23,432,263","630,488"
2018-12-28,139.99,"23,588,541","581,692"
2018-12-27,137.81,"23,220,382","530,676"
2018-12-26,133.90,"22,547,728","615,711"
2018-12-24,136.25,"22,944,465","648,988"
2018-12-21,137.51,"23,134,607","602,690"
2018-12-20,137.01,"23,028,120","560,090"
2018-12-19,138.34,"23,252,528","512,422"
2018-12-18,136.42,"22,951,977","486,837"
2018-12-17,138.22,"23,255,321","526,460"
2018-12-14,138.47,"23,258,040","670,659"
2018-12-13,143.09,"23,611,653","610,656"
2018-12-12,142.80,"23,562,891","480,654"
2018-12-11,139.59,"23,033,700","467,378"
2018-12-10,140.71,"23,217,316","566,967"
2018-12-07,145.57,"24,018,860","512,061"
2018-12-06,144.74,"23,877,978","632,821"
2018-12-05,149.64,"24,686,526","615,347"
2018-12-04,151.65,"25,018,899","615,629"
2018-12-03,153.36,"25,298,807","631,457"
2018-11-30,149.39,"24,644,534","530,065"
2018-11-29,149.84,"24,696,780","673,064"
2018-11-28,150.77,"24,846,451","733,253"
2018-11-27,149.00,"24,549,959","591,643"
2018-11-26,147.08,"24,233,210","577,594"
2018-11-23,144.40,"23,790,859","616,644"
2018-11-22,145.98,"24,068,752","513,473"
2018-11-21,147.10,"24,232,955","725,319"
2018-11-20,145.73,"24,007,537","624,617"
2018-11-19,150.02,"24,715,454","488,571"
2018-11-16,148.34,"24,437,579","578,272"
2018-11-15,149.81,"24,656,154","636,883"
2018-11-14,148.05,"24,285,369","549,428"
2018-11-13,148.10,"24,293,322","702,115"
2018-11-12,150.13,"24,627,123","611,308"
2018-11-09,153.24,"25,137,252","729,904"
2018-11-08,155.21,"25,446,681","732,648"
2018-11-07,152.21,"24,936,226","662,951"
2018-11-06,154.36,"25,268,128","869,082"
2018-11-05,157.67,"25,810,635","539,284"
2018-11-02,158.00,"26,716,946","909,983"
2018-11-01,152.95,"24,777,281","938,242"
2018-10-31,146.49,"23,711,882","697,597"
2018-10-30,145.72,"23,570,778","851,012"
2018-10-29,139.53,"22,569,984","775,036"
2018-10-26,146.01,"23,613,350","918,059"
2018-10-25,150.78,"24,384,012","887,412"
2018-10-24,153.14,"24,783,393","781,631"
2018-10-23,158.85,"25,707,473","569,361"
2018-10-22,165.19,"26,728,678","408,097"
2018-10-19,164.70,"26,619,828","558,427"
